User Type, Warehouse, Date, Time	
Employee,Delhi,29-09-2020,13:01
Employee,Delhi,30-09-2020,02:27
Employee,Delhi,30-09-2020,02:29
Employee,Delhi,30-09-2020,02:33
Employee,Delhi,30-09-2020,02:35
EMployee,Delhi,30-09-2020,02:39
Employee,Delhi,30-09-2020,08:06
Employee,Delhi,30-09-2020,11:36
Employee,Delhi,30-09-2020,11:40
Employee,Delhi,30-09-2020,13:38
Employee,Delhi,30-09-2020,13:41
employee,Delhi,30-09-2020,13:48
Employee,Delhi,30-09-2020,13:50
Employee,Delhi,30-09-2020,14:09
EMployee,Delhi,30-09-2020,14:10
Employee,Delhi,30-09-2020,14:11
Employee,Delhi,30-09-2020,14:59
Employee,Delhi,30-09-2020,20:19
Employee,Delhi,30-09-2020,23:04
Employee,Delhi,30-09-2020,23:10
Employee,Delhi,30-09-2020,23:21
Employee,Delhi,30-09-2020,23:23
Employee,Delhi,30-09-2020,23:24
Employee,Delhi,30-09-2020,23:58
Employee,Delhi,01-10-2020,01:21
Employee,Delhi,01-10-2020,01:25
Employee,Delhi,01-10-2020,01:28
Employee,Delhi,01-10-2020,09:33
Employee,Delhi,01-10-2020,09:34
Employee,Delhi,01-10-2020,09:35
Employee,Delhi,01-10-2020,09:41
Employee,Delhi,01-10-2020,09:45
Employee,Delhi,01-10-2020,09:46
Employee,Delhi,01-10-2020,09:55
Employee,Delhi,01-10-2020,09:57
Employee,Delhi,01-10-2020,09:57
Employee,Delhi,01-10-2020,09:59
Employee,Delhi,01-10-2020,10:23
Employee,Delhi,01-10-2020,10:24
Employee,Delhi,01-10-2020,10:25
Employee,Delhi,01-10-2020,10:26
Employee,Delhi,01-10-2020,10:27
Employee,Delhi,01-10-2020,10:29
Employee,Delhi,01-10-2020,10:34
Employee,Delhi,01-10-2020,10:49
Employee,Delhi,01-10-2020,10:56
Employee,Delhi,01-10-2020,13:05
Employee,Delhi,01-10-2020,13:17
EMployee,Delhi,01-10-2020,14:02
EMployee,Delhi,01-10-2020,14:20
Employee,Delhi,01-10-2020,14:32
employee,Delhi,01-10-2020,14:40
Employee,Delhi,01-10-2020,14:47
Employee,Delhi,01-10-2020,14:52
Employee,Delhi,01-10-2020,14:55
Employee,Delhi,02-10-2020,01:06
Employee,Delhi,02-10-2020,01:10
Employee,Delhi,02-10-2020,01:12
Employee,Delhi,02-10-2020,01:14
Employee,Delhi,02-10-2020,01:16
Employee,Delhi,02-10-2020,13:49
Employee,Delhi,02-10-2020,13:53
Employee,Delhi,02-10-2020,14:07
Employee,Delhi,02-10-2020,14:10
Employee,Delhi,02-10-2020,14:12
Employee,Delhi,02-10-2020,14:13
EMployee,Delhi,02-10-2020,14:45
employee,Delhi,02-10-2020,14:50
employee,Delhi,02-10-2020,14:52
employee,Delhi,02-10-2020,14:53
Employee,Delhi,02-10-2020,14:55
employee,Delhi,02-10-2020,14:56
employee,Delhi,02-10-2020,14:58
employee,Delhi,02-10-2020,14:59
Employee,Delhi,02-10-2020,15:00
Employee,Delhi,02-10-2020,15:03
employee,Delhi,02-10-2020,15:03
Employee,Punjab,02-10-2020,18:03
employee,Delhi,02-10-2020,18:05
Employee,Delhi,02-10-2020,18:09
employee,Delhi,02-10-2020,18:34
employee,Delhi,02-10-2020,18:35
employee,Delhi,02-10-2020,18:37
employee,Delhi,02-10-2020,18:38
employee,Delhi,02-10-2020,19:48
employee,Delhi,02-10-2020,19:49
employee,Delhi,02-10-2020,20:00
employee,Delhi,02-10-2020,20:02
employee,Delhi,03-10-2020,01:41
employee,Delhi,03-10-2020,01:55
employee,Delhi,03-10-2020,01:56
employee,Delhi,03-10-2020,01:58
Employee,Delhi,03-10-2020,02:01
employee,Delhi,03-10-2020,03:35
Employee,Delhi,03-10-2020,03:38
employee,Delhi,03-10-2020,03:50
